ID,Description,Size,Factor (m),Offset (b),Type,Decimal Places,Units,Scaled Min,Scaled Max,Raw Min,Raw Max,Encoding Name
13,P2 CAN ECU max,2 [0],1,0,Unsigned,0,ms,0,65535,$0 ,$FFFF,
14,P2* CAN ECU max,2 [0],10,0,Unsigned,0,ms,0,655350,$0 ,$FFFF,
18,"0 to 1677721.5 km (0.1, 0)",3 [0],0.1,0,Unsigned,1,km,0.0,1677721.5,$0 ,$FFFFFF,
344,"0 to 65535 (1,0,0)",2 [0],1,0,Unsigned,0,km,0,65535,$0 ,$FFFF,
4448,"0 to 100 % (0.5, 0, 0)",1 [0],0.5,0,Unsigned,1,%,0.0,100.0,$0 ,$C8,
4568,"-40 to 105 °C (1, -40, 0)",1 [0],1,-40,Unsigned,0,°C,-40,105,$0 ,$91 ,
9303,Unsigned (1Byte),1 [0],1,0,Unsigned,0,°C,0,255,$0 ,$FF,
10758,_0_to_1638375_RPM_2502_LC320,2 [0],0.25,0,Unsigned,2,rpm,0.00,16383.75,$0 ,$FFFF,
10775,_Time_15sec_2Byte_LC5722,2 [0],15,0,Unsigned,0,sec,0,983025,$0 ,$FFFF,
10803,_Unsigned_1Byte_LC2766,1 [0],1,0,Unsigned,0,-,0,255,$0 ,$FF,
10815,_0_to_255_seconds100_LC4953,1 [0],1,0,Unsigned,0,Seconds,0,255,$0 ,$FF,
12601,_0_to_255_s_100_LC6311,1 [0],1,0,Unsigned,0,s,0,255,$0 ,$FF,
13383,"0 to 255 (1,0,0)",1 [0],1,0,Unsigned,0,s,0,255,$0 ,$FF,
16370,Odometer (16 Km/Bit 2 Byte),2 [0],16,0,Unsigned,0,km,0,1048560,$0 ,$FFFF,
16414,Time (15s/bit 2 Byte),2 [0],15,0,Unsigned,0,s,0,983025,$0 ,$FFFF,
16422,Time (1min/Bit 3 Byte),3 [0],1,0,Unsigned,0,min,0,16777215,$0 ,$FFFFFF,
16426,Voltage (0.1 V/bit 1 byte),1 [0],0.1,0,Unsigned,1,V,0.0,25.5,$0 ,$FF,
16434,Counter(1cnt/bit 2 byte),2 [0],1,0,Unsigned,0,V,0,65535,$0 ,$FFFF,
41451,Unsigned  [1/1*data] 2-255,1 [0],1,0,Unsigned,0,V,0,255,$0 ,$FF,
56164,Counter [1/1*data] 0-255,1 [0],1,0,Unsigned,0,Number,0,255,$0 ,$FF,
61881,_Hex__Decimal_Conversion_LC11969,1 [0],1,0,Unsigned,0,None,0,255,$0 ,$FF,
61893,_Hex__Decimal_Conversion_LC9944,2 [0],1,0,Unsigned,0,None,0,65535,$0 ,$FFFF,
61901,_Odometer_16kmBit_LC10715,2 [0],16,0,Unsigned,0,km,0,1048560,$0 ,$FFFF,
61905,_Time_3Byte__11_min_LC58717,3 [0],1,0,Unsigned,0,min,0,16777215,$0 ,$FFFFFF,
61909,_Battery_voltage_1byte_LC8595,1 [0],0.1,0,Unsigned,1,V,0.0,25.5,$0 ,$FF,
62865,_0__65535_LC16,2 [0],1,0,Unsigned,0,V,0,65535,$0 ,$FFFF,
62869,_0__255_LC15,1 [0],1,0,Unsigned,0,V,0,255,$0 ,$FF,
63013,_Counter_1byte_LC9855,1 [0],1,0,Unsigned,0,V,0,255,$0 ,$FF,
65081,_DateWeek_Type_LC13491,1 [0],1,0,Unsigned,0,No Unit,0,53,$0 ,$35 ,
65089,_Odometer_LC54072,1 [0],1,0,Unsigned,0,km,0,255,$0 ,$FF,
65093,_Time_15s_2byte_LC9695,2 [0],15,0,Unsigned,0,s,0,983025,$0 ,$FFFF,
66330,0 to 254 [No Units],1 [0],1,0,Unsigned,0,s,0,254,$0 ,$FE,
66330,0 to 254 [No Units],1 [0],1,0,Unsigned,0,s,0,254,$FF,$FF,Invalid Signal
67630,_0_to_16777215_km_01_0_LC141,3 [0],0.1,0,Unsigned,1,km,0.0,1677721.5,$0 ,$FFFFFF,
67810,_0_to_16777215_km__LC66166,3 [0],0.1,0,Unsigned,1,-,0.0,1677721.5,$0 ,$FFFFFF,
72470,Unsigned (2 Byte),2 [0],1,0,Unsigned,0,-,0,65535,$0 ,$FFFF,
76074,0 - 5080 LUX,1 [0],20,0,Unsigned,0,LUX,0,5080,$0 ,$FE,
76082,"0 to 1020 W/m² (1,0,0)",1 [2],1,0,Unsigned,0,W/m**2,0,1020,$0 ,$03FC,
76082,"0 to 1020 W/m² (1,0,0)",1 [2],1,0,Unsigned,0,W/m**2,0,1020,$03FD,$03FD,No Signal
76082,"0 to 1020 W/m² (1,0,0)",1 [2],1,0,Unsigned,0,W/m**2,0,1020,$03FE,$03FE,Invalid Signal
76082,"0 to 1020 W/m² (1,0,0)",1 [2],1,0,Unsigned,0,W/m**2,0,1020,$03FF,$03FF,Undefined
76098,0 - 359 Degrees,1 [1],1,0,Unsigned,0,Degrees,0,359,$0 ,$167 ,
76118,0 to 100 %,0 [7],1,0,Unsigned,0,%,0,100,$0 ,$64 ,
76142,0 - 100 % RH,1 [0],0.5,0,Unsigned,0,%,0,100,$0 ,$C8,
76142,0 - 100 % RH,1 [0],0.5,0,Unsigned,0,%,0,100,$FF,$FF,No Signal
76146,"0 to 254Ah(1,0,0)",1 [0],1,0,Unsigned,0,Ah,0,254,$0 ,$FE,
76150,"-40.9 to 163.6 °C (0.1,-40.9,1)",1 [3],0.1,-40.9,Unsigned,1,°C,-40.9,163.6,$0 ,$07FD,
